"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Run Number"
130,0,1000,-20.165,0.0011024,3.1311e-05,16.988,365.41,1.4328e-11,3.5391e-10,146.31,653.4,903.53,0.0011789,8.5163e-05,44.821,296.5,26.23,109.47,2.0233e-11,2.5537e-11,0.084319,1443.5,1
130,0,1466.666667,0.084075,0.001263,0.021111,-289.41,3191.3,9.7287e-12,624.5,0.14811,1862.2,1114.5,0.0012775,-6.9581e-05,221.09,495.06,2.1289e-27,4.778e-26,5.0885e-12,1.2263e-11,5.2485e-28,7.295e-27,2
130,0,2400,-4.6494,0.0017076,0.00011418,18.735,6.5815,1.2431e-11,1.8788e-09,3.0691,1.6418e-12,7.3522e-06,0.08823,0.086483,188.39,-54.485,1.8204e-26,8.2359e-27,5.1732e-12,5.1732e-12,2.6156e-24,2.877e-29,3
130,0,2866.666667,-6.2243,0.0019351,0.00038568,9.5856,1.0579,1.7537e-11,1.9e-09,0.49326,2.1061e-08,3.1011,1.6733,1.6713,212.04,-43.22,1.5282e-18,9.7812e-25,6.4067e-12,6.4067e-12,6.142e-25,3.7038e-29,4
130,0,3333.333333,5.3613,0.0020641,0.017996,7.9124,0.018979,8.0056e-10,1.0152e-07,0.0091779,0.023584,6.4997,0.0080411,0.0059734,6.4415,-189.92,9.0754e-05,6.0679,9.1109e-08,8.9307e-08,3.1264,362.6,5
130,0,3800,-8.2766,0.0014813,0.093193,7.2232,0.061611,4.5931e-08,3.5762e-06,0.028208,2.0361e-05,0.0039477,0.070932,0.070385,4.9747,-233.29,7.9831e-11,3.0097e-06,4.0554e-07,3.9542e-07,0.074133,11.925,6
130,0,4266.666667,10.992,-3.7392e-05,0.1977,6.4002,0.10427,2.7105e-07,1.499e-05,0.046324,1.3659e-05,0.0017215,0.17227,0.17524,5.7614,-265.35,0.030506,485.55,2.8117e-06,3.1647e-06,0.073297,8.7941,7
130,0,4733.333333,-13.623,-0.0028879,0.34103,6.0968,0.1517,9.7343e-07,4.1024e-05,0.065441,4.5357e-09,4.2319e-07,0.31237,0.32137,6.1891,-278.8,2.8373e-10,2.4717e-06,2.5022e-06,2.0584e-06,2.1671e-12,6.0177e-18,8
130,0,5200,16.249,-0.0069643,0.49964,5.7718,0.20049,2.3805e-06,7.9422e-05,0.08395,2.1975e-09,1.5894e-07,0.48679,0.50466,7.4685,-326.18,3.3483e-10,1.7532e-06,5.3175e-07,2.8542e-07,7.3478e-14,1.5013e-16,9
130,0,5666.666667,-19.565,-0.01527,0.76247,5.3784,0.26857,6.3888e-06,0.0001646,0.10825,-1.6247e-05,-0.0010001,0.67301,0.69991,7.6442,-330.75,0.03035,114.97,3.2208e-05,3.8838e-05,0.056524,3.998,10
130,0,6133.333333,22.271,-0.024577,1.0076,5.2059,0.32894,1.2357e-05,0.00026349,0.12846,1.5163e-06,8.348e-05,0.87986,0.91581,8.0255,-333.9,0.00023064,0.69876,5.2519e-05,6.4193e-05,0.054254,6.243e-05,11
130,0,6600,-25.101,-0.034928,1.2269,4.8697,0.3866,1.9683e-05,0.00034975,0.14599,-2.0152e-05,-0.0010352,1.125,1.1714,7.7729,-376.48,0.034846,91.946,7.6269e-05,9.4017e-05,0.054327,3.7355,12
130,0,7066.666667,-27.348,-0.044767,1.4108,4.8308,0.43918,2.7793e-05,0.00043129,0.16144,3.3355e-05,0.0015769,1.3199,1.3758,7.6952,-378.22,0.096408,215.44,0.00010733,0.00013377,0.06313,3.8307,13
130,0,7533.333333,30.61,-0.062363,1.7171,4.638,0.4997,4.3326e-05,0.00055877,0.17655,-883180,-202.44,1.3261,1.231,88007,-436.3,0.00061578,10256,0.14264,0.13547,0.24786,356.82,14
