"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","NA"
160,0,7000,87.147,8.6134,-0.0016993,-282.77,8986.1,9.4611e-08,5.2237e-07,7022.1,-82.032,-200.11,8.6146,0.0060829,-22.967,-595.89,339.4,480.71,5.1715e-08,5.3775e-08,187.61,151.44,6.5986e-12
148,-6,4000,55.894,0.0022775,3.5386e-05,17.147,81.272,2.1272e-12,8.7409e-12,20.746,0.0002687,0.0070718,0.0023356,2.7578e-05,8.3829,-458.37,3.8436e-08,2.5834e-05,6.8417e-13,7.0968e-13,2.2075,0.0127,6.5986e-12
106,-6,8000,217.64,0.13299,5.6109,3.5761,0.62015,0.00031658,0.00026987,0.012873,0.019689,0.2535,5.8043,4.2047,10.111,-487.68,0.0047371,0.78461,0.0025237,0.0029517,2.264,25.238,6.5986e-12
124,-18.727273,5000,71.769,0.83575,2.6767,2.9983,0.098689,1.3467e-05,3.1919e-05,0.020142,0.00050012,0.003591,3.4916,2.5094,-2.053,-310.01,8.0456,414.79,9.2419e-05,0.0002417,0.25382,2.0057,7.5105e-13
160,0,8000,37085,10.483,-0.6834,98.763,1.2e-08,2.5417,2.5417,91876,-13081000,-0.16977,9.7993,-0.0035665,1189200,937.43,1.8475e-17,0.025609,1.215e-10,1.9867e-05,6.926e-13,8031.8,6.5986e-12
148,-6,5000,79.763,0.0026843,4.8851e-05,23.756,73.41,3.2227e-12,6.1384e-12,13.482,32681,239120,0.0030283,0.00028034,850.52,-38556,1.1256e-23,1.8905e-24,1.2967e-05,1.3057e-05,1.0811e-29,8.1589e-24,6.5986e-12
106,-4,3000,77.313,-0.071648,2.3097,7.0705,0.12434,1.2355e-05,2.4887e-05,0.023443,0.00023857,0.0020169,2.1988,2.076,5.4655,-233.27,7.9933,571.29,0.00013338,0.00025046,0.25048,2.5738,6.5986e-12
124,-18.727273,6000,84.011,1.0572,3.4586,3.593,0.084293,1.8389e-05,3.098e-05,0.014397,-0.00020485,-0.0015338,4.449,3.1619,-2.5548,-371.41,2.0808,116.67,0.00019669,0.00050767,0.33416,2.7675,7.5105e-13
160,2,3000,33.807,3.8476,0.0024082,109.67,94.42,1.4851e-08,1.6914e-07,33.007,1120800,494.59,3.8461,-0.0070128,-9411.8,-308.06,0.00041091,2134.8,6.0759e-09,2.9095e-08,24.736,22.294,6.5986e-12
148,-6,6000,68.18,0.0031686,7.7129e-05,23.204,26.54,3.0492e-12,8.1702e-12,5.7384,2.1019e-08,2.4905,1.214,1.2108,110.49,-21.23,1.7417e-18,3.4963e-24,1.5993e-11,1.5993e-11,1.9531e-24,1.3995e-28,6.5986e-12
