"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)","Run Number"
130,-20,1000,29.956,0.087281,0.10793,-2.9866,0.019634,6.8253e-09,9.1258e-08,0.0069924,-0.0011735,-0.0049967,0.17731,0.089898,-4.8184,-43.459,2480.7,44999,3.8355e-07,9.3529e-07,1.0659,4.8122,1.667e-12,1
130,-20,2000,34.762,0.16565,0.35683,-1.7752,0.0070294,2.4213e-08,2.508e-07,0.0023591,-0.00028908,-0.0014239,0.45787,0.28686,-5.1063,-89.322,1.3802,33.484,5.2703e-07,1.3198e-06,0.10555,0.63274,6.1102e-13,2
130,-20,3000,43.665,0.26158,0.77295,-0.95656,0.013998,1.9767e-07,1.3411e-06,0.0041944,-0.00068285,-0.0042544,0.95323,0.67226,-4.9136,-169.7,9.3451,362.76,4.1312e-06,9.5222e-06,0.1264,0.92376,4.011e-13,3
130,-20,4000,50.791,0.36158,1.2581,0.11775,0.048078,1.6641e-06,8.3356e-06,0.013117,0.00083016,0.0061433,1.5523,1.1556,-3.9399,-219.31,12.369,677.36,1.5632e-05,3.396e-05,0.14129,1.1629,3.7598e-13,4
130,-20,5000,58.009,0.47693,1.7851,1.0812,0.088472,5.8063e-06,2.1965e-05,0.021894,6.3769e-05,0.00051446,2.2087,1.6852,-3.7505,-266.41,0.26701,17.38,4.1678e-05,8.864e-05,0.17025,1.5005,3.4895e-13,5
130,-20,6000,66.338,0.62976,2.3497,2.1042,0.16896,1.8241e-05,5.1452e-05,0.037246,-0.00020874,-0.0017247,2.9692,2.2965,-3.5444,-313.33,1.3909,94.954,9.1727e-05,0.00019603,0.20708,1.8396,3.5812e-13,6
130,-20,7000,74.14,0.80383,2.8955,3.1779,0.23723,3.7506e-05,8.2744e-05,0.046798,-0.0010074,-0.0083573,3.7089,2.8738,-3.4392,-358.53,7.2068,495.92,0.00016615,0.00035989,0.25029,2.2191,3.7559e-13,7
130,-20,8000,82.194,1.0131,3.4859,4.1622,0.27924,6.2211e-05,0.00010977,0.048994,0.00022895,0.0017155,4.5251,3.4979,-3.1373,-364.08,4.3327,243.25,0.00027918,0.00063274,0.32545,2.4871,3.7071e-13,8
130,-18,1000,30.579,0.029929,0.070839,-1.158,0.036649,5.4118e-09,6.9911e-08,0.012953,-0.0002083,-0.0012437,0.094844,0.064874,-8.7075,-69.694,7.3822,263.19,3.284e-07,7.488e-07,0.68986,9.3067,2.3148e-12,9
130,-18,2000,30.755,0.056947,0.3034,-1.2716,0.0052265,1.4102e-08,1.8042e-07,0.0018432,0.00016364,0.0014164,0.30627,0.24535,-6.2648,-123.95,0.46293,34.684,5.1899e-07,1.0311e-06,0.080304,0.92815,6.0937e-13,10
130,-18,3000,40.332,0.092971,0.70241,-0.13869,0.013109,1.5987e-07,1.2626e-06,0.0041005,170.18,-6.7658,0.38635,0.0026917,-20.404,-78.101,2.15e+08,340280,1.9928e-05,3.0781e-05,0.34833,0.25148,4.4473e-13,11
130,-18,4000,50.855,0.14729,1.1491,1.3611,0.087151,2.5148e-06,1.2565e-05,0.023758,0.00014405,0.0015793,1.2878,1.1441,-4.182,-225.58,1.0736,129.05,2.064e-05,3.8503e-05,0.13511,1.5322,3.6029e-13,12
130,-18,5000,66.995,0.24883,1.5712,3.3724,0.4873,2.3442e-05,6.4707e-05,0.10644,3.4532e-05,0.00039468,1.8959,1.6957,-3.8614,-271.88,0.077217,10.087,5.5497e-05,0.00010323,0.17119,1.9334,4.6246e-13,13
130,-18,6000,101.11,0.45609,2.0114,6.8179,1.6355,0.00011636,0.00013765,0.21613,1.2052e-05,0.00013671,2.6261,2.3459,-3.6554,-317.91,0.013488,1.7357,0.00012579,0.00023772,0.21612,2.3908,6.9459e-13,14
