"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","Cost filtered (V/nT)","Cost unfiltered (V/nT)","Loop","Run_number","C(1D)","A(1D)","G(1D)","By(1D)","Error C(1D)","Error A(1D)","Error G(1D)","Error By(1D)","G2(2D)"
"112.000000","-4.500000","451.000000","0.000000","NaN","1.000000","1.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"98.000000","-9.000000","860.000000","0.002096","0.002096","1.000000","2.000000","2.563519","1.135946","542.064639","-0.984337","0.019526","0.017559","14.164324","3.218334","542.064639"
"86.000000","-5.000000","669.000000","0.001012","0.001012","1.000000","3.000000","2.220101","0.506772","500.956153","-2.750661","0.007920","0.007164","12.842728","3.218119","500.956153"
"100.000000","-7.500000","658.000000","0.002366","0.002366","1.000000","4.000000","1.704534","1.082127","457.321576","-1.061516","0.018171","0.016742","13.753943","3.822004","457.321576"
"110.000000","-18.000000","636.000000","0.002885","0.002885","1.000000","5.000000","1.983458","0.865826","300.069614","5.615927","0.007402","0.009084","6.812836","2.718449","300.069614"
"120.000000","-7.500000","609.000000","0.003652","0.003652","1.000000","6.000000","0.336968","1.114637","305.182692","-1.145265","0.006702","0.008088","4.800230","1.893746","305.182692"
"92.000000","-11.000000","831.000000","0.001311","0.001311","1.000000","7.000000","3.121978","0.612055","466.720459","8.653674","0.005695","0.005219","7.627511","2.073467","466.720459"
"116.000000","3.500000","793.000000","0.005879","0.005879","1.000000","8.000000","0.430950","1.626046","276.598177","-11.792822","0.005351","0.007147","2.598278","1.091640","276.598177"
"99.000000","-2.500000","691.000000","0.002661","0.002661","1.000000","9.000000","1.506189","1.280047","481.039573","-4.614460","0.016505","0.015026","10.580801","2.779874","481.039573"
"109.000000","0.000000","874.000000","0.004469","0.004469","1.000000","10.000000","0.788405","1.978269","442.648910","-4.663691","0.016230","0.015109","6.711953","1.930948","442.648910"
"117.000000","9.000000","709.000000","0.006976","0.006976","1.000000","11.000000","0.727728","1.238638","177.568107","-10.605691","0.004337","0.009381","2.553039","1.318484","177.568107"
"102.000000","7.000000","554.000000","0.003224","0.003224","1.000000","12.000000","1.386223","0.829330","257.229068","-11.944231","0.002974","0.004296","2.803456","1.228125","257.229068"
"124.000000","-8.500000","538.000000","0.000000","NaN","1.000000","13.000000","0.000000","0.000000","0.000000","0.000000","NaN","NaN","NaN","NaN","0.000000"
"84.000000","-15.000000","731.000000","0.000664","0.000664","1.000000","14.000000","2.949725","0.265089","399.171320","11.230700","0.001705","0.001663","5.238732","1.668978","399.171320"
"108.000000","-19.000000","598.000000","0.002358","0.002358","1.000000","15.000000","2.089579","0.692007","293.469420","14.059023","0.004842","0.006080","5.563648","2.252943","293.469420"
"98.000000","-18.500000","537.000000","0.000623","0.000623","1.000000","16.000000","2.310428","0.380347","610.979611","43.644189","0.004570","0.004129","9.979329","1.946642","610.979611"
"115.000000","-13.500000","796.000000","0.004066","0.004066","1.000000","17.000000","1.468354","1.345459","330.932641","16.964374","0.008241","0.009219","4.927217","1.835749","330.932641"
"71.000000","8.000000","430.000000","0.000357","0.000357","1.000000","18.000000","1.547351","0.074362","208.515524","-6.254742","0.000311","0.000567","3.159427","1.532840","208.515524"
