"G1","G2","C","A","Bx","By","Bz","Error_G1","Error_G2","Error_C","Error_A","Error_Bx","Error_By","Error_Bz","MSE","Laser_Power","Laser_Detuning","Temp","PP"
266.5,838.28,4.1665,0.44226,1.6679,-2.2106,-80.132,1.9047,7.3176,2.6337e-07,2.9241e-07,0.28571,0.28571,1.5778,9.4319e-05,523.264795,2.03645,70.739043,0.10175
204.85,833.69,3.6393,0.32021,4.6757,-4.1239,248.62,1.618,11.814,1.4324e-07,2.4143e-07,0.41228,0.41227,3.5283,7.3592e-05,430.405271,-1.716032,70.918765,0.091315
160.75,586.66,3.5636,0.2089,7.4201,0.12675,258.77,1.4957,8.4398,6.0172e-08,2.0363e-07,0.66141,0.66139,3.0698,5.1511e-05,379.464699,-5.18395,71.09454,0.06309
26293,-10296,4.8677,-0.00055231,75183,-266610,146230,5.3164e-22,3.2146e-21,1.5541e-08,2.3106e-09,1.5208e-24,1.8898e-23,4.9578e-23,1.3886e-07,625.420517,9.800708,71.469302,0.00068597
43756,-93567,4.8688,-0.000239,-19972,184040,28123,3.1235e-28,1.8254e-29,2.3192e-07,1.0338e-05,5.7664e-32,1.0935e-28,8.2778e-29,1.4487e-07,644.944063,8.948187,71.628757,0.00060873
90992,-314210,4.8688,-2.612e-07,-146990,-87974,28033,1.1862e-25,9.6324e-27,5.0645e-11,6.8084e-15,9.9178e-26,3.5428e-26,3.168e-28,1.3888e-07,606.57007,-5.372553,71.826465,0.00070016
989120,750.18,4.8692,-0.0010154,-3320.6,27398,-496.1,0.00055275,12112,1.1793e-08,2.402e-08,0.025022,1.7032,590.05,1.4126e-07,681.345212,6.290478,72.293828,0.00070204
174,489.19,2.1422,0.27839,2.4856,0.29622,-96.56,0.5714,1.8087,3.4844e-08,1.1528e-07,0.21607,0.21607,0.53238,2.9804e-05,257.603684,1.235841,72.761195,0.12777
10.087,46574,4.8689,-0.00032626,35.898,-4.5857,16389,10.615,3.1457e-07,9.4396e-10,6.2992e-10,822.49,820.69,1.9995e-07,1.3355e-07,607.028299,-2.361467,72.799361,0.00065681
176.56,649.19,3.4417,0.28455,7.2034,-0.17179,235.25,1.0215,5.749,7.3032e-08,1.9882e-07,0.37264,0.37263,1.9132,5.3535e-05,382.848369,-4.206476,73.232116,0.086347
789.41,356.33,4.4834,0.4333,3.6784,1.1408,-313.09,69.131,3.7966,2.4107e-06,2.0526e-06,1.5831,1.5831,1.1931,0.00034404,526.810934,8.724749,73.243773,0.074389
284.96,735.09,4.1394,0.52917,1.2494,-0.024084,-173.08,1.8618,4.3181,3.3216e-07,3.6999e-07,0.25831,0.25831,1.1543,0.00012076,529.305677,2.127601,73.286105,0.12794
14599,648.9,3.2598,1.6356,4.8334,2.8473,-309.24,1718200,21.611,0.017626,0.01756,2.7201,2.7197,4.8515,0.00030699,586.652822,5.251318,73.479877,0.048146
171.63,658.28,3.7631,0.2796,8.572,0.15252,346.69,1.0299,6.4309,7.4655e-08,2.003e-07,0.40143,0.40142,2.8293,5.5384e-05,418.449968,-5.610734,73.803918,0.076163
246.01,362.12,3.3517,0.44699,1.7942,4.5876,-233.04,1.0546,0.92763,1.1333e-07,2.1331e-07,0.22631,0.22632,0.3068,7.4865e-05,400.940728,7.862087,74.077617,0.13787
271.94,351.04,3.9171,0.45979,2.0597,1.8433,-261.27,1.4993,1.0084,1.5524e-07,2.5343e-07,0.27252,0.27252,0.33895,9.2997e-05,481.827461,8.162372,74.402564,0.12233
598.95,201.54,4.8719,-0.0036786,-37.869,18.081,-329.76,27397,1444.8,6.5385e-08,6.3789e-08,1246.3,1244.5,433.81,1.9206e-05,576.650842,8.966101,74.597765,0.01172
252.9,724.45,4.8691,-0.0005167,37.668,-14.65,-1229.2,1578.9,5525.7,6.5894e-10,5.7333e-10,383.62,382.93,320.92,1.3627e-07,652.443692,0.019621,74.839607,0.00061612
172810000,660.8,-14728,14733,4.7928,-0.61006,-286.91,0.00034337,24.26,11810,11811,3.3644,3.3641,6.1155,0.00029667,606.630445,3.593493,74.899255,0.045542
198.91,814.02,4.2287,0.39683,8.3606,-4.1863,384.67,1.4586,10.575,2.0348e-07,3.4977e-07,0.39812,0.39811,4.7478,0.00010846,492.73715,-4.681346,75.282019,0.0992
-9.5606,2478.5,4.8687,-1.9092e-06,681.82,-275.21,16.909,0.27608,0.00051879,1.9184e-11,1.4531e-12,0.096628,32.279,461.64,1.5338e-07,678.39503,8.724749,75.516148,0.00066547
154.98,558.64,3.6499,0.26176,8.9785,-2.7262,396.64,1.0243,5.7658,6.8134e-08,2.2861e-07,0.50347,0.50345,3.0049,6.0964e-05,400.632132,-7.41565,75.557266,0.080292
203.38,289.58,3.0169,0.46903,1.9794,8.8352,-235.67,1.6099,1.5976,2.0219e-07,4.9331e-07,0.46688,0.4669,0.50889,0.00017134,351.746014,7.931442,75.69863,0.16472
231.89,331.87,3.3837,0.56692,1.2666,3.8808,-255.64,0.90354,0.81012,1.5895e-07,3.2363e-07,0.21628,0.21628,0.27102,0.00011486,391.950024,7.073562,75.823609,0.17186
282.67,470.07,4.0064,0.65985,-0.20238,3.9196,-280.76,1.4727,1.4272,3.4525e-07,4.9612e-07,0.24267,0.24267,0.50958,0.00017311,513.533743,5.715908,75.870194,0.1676
256.62,835.48,4.2298,0.59288,3.0618,-0.94281,-37.192,1.4609,6.1167,3.724e-07,4.3982e-07,0.2367,0.2367,1.2848,0.00014144,515.14534,0.946655,76.045073,0.13292
49.695,3945.4,4.8689,-0.00047232,-21.067,-25.159,1953.9,89.567,0.0040092,2.6897e-10,4.6235e-10,341.22,341.26,0.0098498,1.3442e-07,631.929851,-2.20793,76.509691,0.00057217
-26967,1234700,4.8697,0.00072247,198570,142300,1667.7,1.8988e-21,9.0528e-25,1.4302e-07,8.7097e-08,9.3328e-23,4.8302e-23,6.8307e-30,1.4786e-07,677.082058,-0.80512,76.585637,0.00056005
-5653.4,1160.6,4.8695,0.0096424,-298700,-33463,38891,7.6641e-18,1.8226e-16,1.5165e-08,1.9109e-06,1.0917e-20,1.3692e-22,2.185e-19,1.4258e-07,628.54583,-5.442681,76.664703,0.00057031
225.98,381.05,3.0961,0.56943,0.66687,5.8817,-237.02,1.3508,1.5649,2.5903e-07,5.4931e-07,0.33712,0.33713,0.52793,0.00018417,387.178943,5.326875,76.682181,0.19159
172.11,568.61,2.248,0.34096,3.2915,-0.27674,4.167,0.58437,2.5592,5.6746e-08,1.8362e-07,0.22162,0.22161,0.69095,4.6112e-05,274.074372,-0.298602,76.729818,0.14942
239.1,318.13,3.9079,0.57373,-0.12103,2.7122,-264.77,1.2382,0.97775,2.1352e-07,4.1462e-07,0.28133,0.28133,0.32598,0.00015129,474.041793,8.856705,76.844218,0.15253
271.23,837.49,4.4435,0.46746,7.9302,-0.86306,239.33,2.6925,9.8926,4.1373e-07,4.4215e-07,0.39304,0.39301,2.7985,0.00014334,488.992475,-3.855614,76.992071,0.089556
235.01,480.49,3.068,0.57995,1.0462,2.2554,-208.01,0.91498,1.4001,1.9203e-07,3.6762e-07,0.20696,0.20696,0.45844,0.00011872,395.756172,3.945323,77.303831,0.18759
239.28,412.38,3.2371,0.61673,1.1462,2.0063,-242.05,0.82265,0.94369,1.8231e-07,3.4994e-07,0.18518,0.18518,0.32185,0.00011827,392.600078,6.14035,77.427986,0.19326
-17751000,464.63,4.879,-0.0089814,31557,-1048,761.15,1.1959e-08,4189.7,2.4386e-06,2.2855e-06,0.016522,2.2404e-05,863.08,4.4301e-06,582.877746,8.157892,77.786986,0.0078273
-0.00024607,98.288,4.8686,-0.098778,945,-197.98,1842.4,0.0021801,0.00055506,2.3845e-11,310.59,109.28,235.47,0.054544,1.7502e-07,686.37912,5.512574,77.859038,0.00066694
251.88,882.06,4.869,-0.00039832,42.389,34.771,190.25,3020.5,15461,3.6018e-10,4.1575e-10,501.96,501.7,3807.5,1.3448e-07,575.661268,-2.553821,78.043103,0.00062414
291.82,455.77,4.0219,0.77229,1.0817,3.5299,-279.91,1.1128,0.9493,3.4332e-07,4.785e-07,0.17367,0.17367,0.33633,0.00016837,510.096793,6.124986,78.351456,0.18597
-33.398,1655.3,4.8689,-1.3366e-07,679.76,-293.67,13.095,0.2523,0.0098762,1.977e-11,4.7769e-13,7.701,0.5286,0.091361,1.5796e-07,614.614246,9.71692,78.644306,0.00066585
245.96,361.82,3.5366,0.69,1.2639,4.7498,-259.95,0.95124,0.84426,2.4512e-07,4.5728e-07,0.20646,0.20646,0.28785,0.0001621,422.82332,7.629101,78.666067,0.20402
236.18,322,3.6004,0.68587,1.9622,2.2534,-265.28,0.83641,0.69126,2.0956e-07,4.1393e-07,0.19435,0.19435,0.23157,0.00014988,413.945911,9.148133,79.026731,0.19139
150.41,305.11,1.8171,0.44124,2.1267,2.648,-152.84,0.35775,0.74273,5.1687e-08,2.107e-07,0.16639,0.16639,0.22511,5.6954e-05,220.520529,4.180399,79.204855,0.24662
204.12,720.02,3.8226,0.51583,8.0602,0.44154,209.97,1.1954,6.0426,2.6024e-07,5.0694e-07,0.32303,0.32302,1.798,0.00015039,434.686172,-2.768571,79.30598,0.14067
-35.227,909.52,4.8688,2.9799e-06,738.53,-319.87,-122.28,0.036663,2.5785,2.0324e-11,7.4451e-12,1.49,2.8623,22.018,1.6221e-07,639.453768,3.784415,79.412128,0.00066277
98.348,673.07,4.8679,-0.0001895,30.652,-9.7412,248.48,2033.7,1374.9,9.6706e-11,8.2049e-10,2016,2015.5,12607,1.3341e-07,693.156138,-17.105737,79.525132,0.00063662
215.69,747.77,3.6916,0.6096,5.988,2.0604,86.564,1.2684,6.1241,3.7148e-07,6.4986e-07,0.30164,0.30163,1.4639,0.00019575,434.94873,-0.905651,79.599971,0.17278
-2.7828e-05,15.532,4.8688,0.9694,631.09,-205.12,-443.25,4.0798e-11,7.2341e-09,4.181e-11,0.0017326,144.55,161.11,1.5933e-08,3.2546e-07,608.181953,4.236217,79.677227,0.0036736
3.4053,2025.6,4.8688,-0.00024907,29.376,-50.984,-16747,2.0797,5.5734e-06,7.908e-10,5.5197e-10,1420.6,1424.4,5.7487e-07,1.3826e-07,553.527876,-9.558033,79.802554,0.00065313
-1.9065e-05,16.449,4.8688,1.1027,626.87,-198.32,-391.97,2.1967e-11,6.1846e-08,2.2508e-11,0.0031794,132.97,203.19,8.2977e-07,1.7501e-07,654.721354,4.45014,79.803067,0.00067226
