Temperature (C) ,Detuning (GHz) ,Laser Power (uW) ,Cost filtered (V/nT),Cost unfiltered (V/nT),Loop,Run_number,C(1D),A(1D),G(1D),By(1D),Error C(1D),Error A(1D),Error G(1D),Error By(1D),G1(2D),G2(2D),C(2D),A(2D),Bx(2D),Bz(2D),Error G1(2D),Error G2(2D),Error C(2D),Error A(2D),Error Bx(2D),Error Bz(2D),NA
104,11,976,0.000316,0.000316,1,1,1.347785,0.028125,89.027057,-1.778905,0.000186,0.000756,3.914113,2.393094,1034.439366,1373.664886,-1.404671,-0.040229,-9.033027,-15.72228,252.519705,293.822968,0.01525,0.015448,12.119924,18.079668,NA
98,10,1142,0.000204,0.000204,1,2,1.876032,0.033551,164.083553,-28.463797,0.000197,0.000463,4.201753,2.228713,1564.413467,1787.772669,-1.973223,-0.080852,-2.02563,-172.999591,304.148427,340.032046,0.027988,0.028081,11.180448,16.12623,NA
85,12,997,0.000099,0.000099,1,8,1.935709,0.008858,89.554821,-18.284246,0.000146,0.000592,9.80944,5.966434,2658.432356,2689.873646,-1.992808,-0.050912,9.058381,-100.507373,876.688486,912.934488,0.032936,0.032955,10.512815,12.224368,NA
124,19,759,0,0.000002,1,9,0.956304,0.000165,100.000001,0.000014,0.000522,0.002006,1939.242938,1154.68947,12148.31693,23399.49217,-3.186361,-2.248571,-18.549942,1813.173401,115448.4373,229391.0157,43.934573,43.935727,14.931533,470.247108,NA
114,14,755,0.000123,0.000123,1,10,0.901098,0.014026,114.267723,-41.010851,0.000102,0.000337,4.696632,2.738298,4646.00614,4554.424703,-1.072837,-0.167311,-3.070527,-122.060439,4086.539731,4095.386439,0.295437,0.295448,11.813736,13.335738,NA
96,19,944,0.000032,0.000032,1,11,1.701414,0.004367,137.278886,13.939366,0.000145,0.000405,22.620083,12.631149,189375.3299,1233.520025,-1.702141,-0.007615,12.947548,104.555913,100438.9884,208.698414,0.000161,0.000722,72.116628,7.682816,NA
110,18,740,0.000014,0.000014,1,15,1.02855,0.009011,648.651907,200.112975,0.000545,0.000497,53.192865,11.448862,1460.128693,2403.658159,-1.058428,-0.025682,-12.083378,547.714703,396.290292,749.835872,0.015051,0.015063,14.861343,56.391013,NA
125,14,996,0.000304,0.000304,1,16,0.937591,0.025096,82.663099,-11.561163,0.000099,0.000424,2.264148,1.395238,1752.321269,2298.697003,-1.004217,-0.057357,-6.528878,-31.009088,798.600293,1037.57082,0.049296,0.049375,11.895288,16.629698,NA
77,15,1146,0.000021,0.000021,1,17,2.200214,0.006941,326.535045,-15.292147,0.000429,0.000486,49.695093,18.697714,5025.30897,3371.765037,-2.238939,-0.035017,-10.722496,-277.672613,1701.118102,1231.983539,0.02416,0.024131,22.666536,22.230164,NA
118,15,881,0.000077,0.000077,1,18,0.986001,0.018603,241.494065,121.001557,0.000145,0.000227,6.05875,2.768713,1336.103568,1991.889682,-1.030656,-0.039258,-8.736568,225.609416,355.128868,524.479562,0.019404,0.019443,10.658152,20.616265,NA
