"Temperature (C) ","Detuning (GHz) ","Laser Power (uW) ","G(1D)","C(1D)","A(1D)","By(1D)","Error G(1D)","Error C(1D)","Error A(1D)","Error By(1D)","G1(2D)","G2(2D)","C(2D)","A(2D)","Bx(2D)","Bz(2D)","Error G1(2D)","Error G2(2D)","Error C(2D)","Error A(2D)","Error Bx(2D)","Error Bz(2D)","Sensitivity (T/sqrt(Hz)"
140,13,1120,108.04,0.12947,1.3742,-18.216,0.63304,1.8225e-06,2.0071e-05,0.62083,-0.00030975,-0.00318,1.5286,1.4036,-15.628,-494.99,10.982,1157.2,0.00016374,0.0002141,0.50179,8.1959,7.3646e-13
140,13,1240,118.18,0.14234,1.7321,-21.711,0.9638,4.2449e-06,3.718e-05,0.86535,-0.0006557,-0.0058208,1.9077,1.7624,-15.76,-500.32,51.54,4061.8,0.00027354,0.00036693,0.69667,8.8723,5.841e-13
140,13,1840,185.29,0.19454,3.7949,-34.658,4.1635,7.1285e-05,0.00026498,2.8816,0.0011479,0.0062482,4.1072,3.6813,-13.651,-644.9,232.95,6903.6,0.0015394,0.0023291,1.6431,12.12,4.7718e-13
140,13,1960,201.13,0.19274,4.3282,-37.305,6.1318,0.00013258,0.00042409,4.0169,-0.0024836,-0.012571,4.6461,4.0929,-13.378,-690.23,1158.2,29678,0.0019962,0.003087,1.9193,13.508,5.1415e-13
140,13,2080,215.11,0.19123,4.7404,-51.324,6.1873,0.00016947,0.00038544,3.2084,-0.0064276,-0.027353,5.1201,4.4149,-12.439,-693.77,6267.3,113490,0.0023971,0.003778,3.0228,13.866,6.7812e-13
140,13,2200,229.28,0.18627,4.8465,-77.823,10.811,0.00035515,0.00055356,3.8712,0.0037358,0.012325,5.2086,4.3488,-11.03,-739.02,4301,46807,0.0026315,0.0046917,3.7877,15.649,5.4879e-12
140,15,1120,125.61,0.20373,1.3646,-7.4533,1.5281,3.573e-06,5.7327e-05,2.0992,0.00040985,0.0036587,1.5608,1.3604,-16.348,-491.25,16.732,1333.5,0.00014049,0.00018814,0.56045,8.9322,9.1152e-13
140,15,1240,129.42,0.23572,1.7026,-15.375,1.4012,5.2917e-06,5.5334e-05,1.5169,-0.0012685,-0.01001,1.9456,1.7128,-15.478,-498.97,243.89,15189,0.00023632,0.0003219,0.766,8.4072,6.3385e-13
140,15,1360,142.29,0.25905,2.0364,-15.958,1.3286,6.7703e-06,6.1829e-05,1.4064,-0.00092511,-0.0068069,2.3283,2.0525,-14.919,-543.39,193.48,10473,0.00036329,0.00050576,0.81768,9.0952,5.6743e-13
140,15,1480,148.67,0.29471,2.3775,-23.077,1.9262,1.3695e-05,9.0578e-05,1.7062,-0.00078392,-0.0051557,2.7301,2.4088,-15.205,-549.74,78.55,3397.4,0.00051983,0.0007439,1.0225,9.4848,5.0191e-13
140,15,1600,164.78,0.32403,2.7779,-21.958,2.4423,2.2036e-05,0.00013495,2.2049,-0.0015746,-0.0096598,3.1775,2.7875,-14.578,-595.33,619.33,23312,0.00073693,0.001069,1.2138,10.436,4.9856e-13
140,15,1720,179.32,0.35762,3.2275,-24.803,2.7294,3.2249e-05,0.00016316,2.2929,-0.0018279,-0.010431,3.6726,3.1966,-14.063,-640.59,496.38,16165,0.0010112,0.0015072,1.3264,11.079,5.1041e-13
140,15,1840,189.58,0.39586,3.6784,-28.237,2.8493,4.3342e-05,0.00018596,2.2176,0.0021679,0.011053,4.1762,3.5961,-14.394,-646.2,752.07,19549,0.0013485,0.0020715,1.6647,11.99,4.7418e-13
140,15,1960,204.3,0.41848,4.2011,-32.841,3.9355,7.7244e-05,0.00026999,2.7783,-0.0013862,-0.006613,4.7305,4.0057,-13.506,-690.1,327.7,7457.1,0.0017594,0.0027765,1.8347,12.8,4.8163e-13
140,15,2080,216.25,0.4559,4.4965,-53.75,4.7662,0.00011899,0.00025905,2.3815,-0.0028667,-0.011071,5.1372,4.2537,-12.877,-695.21,1773.2,26449,0.0021388,0.0035935,2.6642,13.331,1.6693e-12
140,15,2200,227.81,0.47946,4.5592,-79.383,11.065,0.00032634,0.00050643,3.886,-0.0037029,-0.010976,5.2012,4.1588,-11.097,-740.34,4166.6,36618,0.0022295,0.0041328,3.9252,14.824,6.0968e-12
140,17,1120,149.25,0.31661,1.3911,11.411,4.5066,9.0845e-06,0.0002795,10.014,-0.0010717,-0.0080076,1.6207,1.2991,-16.214,-450.14,102.61,5728.1,0.00011962,0.00016511,0.66543,8.1958,7.8861e-13
140,17,1480,165.37,0.47033,2.3119,-9.9726,3.2944,1.9056e-05,0.00018131,3.9021,-0.0011621,-0.0070213,2.7987,2.3025,-15.652,-549.3,155.57,5678.9,0.00043808,0.00063891,1.0247,9.6419,5.8194e-13
140,17,1600,176.61,0.52828,2.6969,-12.687,2.8445,2.1956e-05,0.00017044,3.0928,0.0006712,0.0038229,3.2593,2.6764,-14.469,-593.78,56.277,1825.8,0.00062602,0.00093064,1.1288,9.84,5.6374e-13
140,17,1720,187.11,0.59111,3.1126,-16.574,3.0074,3.0695e-05,0.00019135,2.9517,2.4244e-05,0.00012489,3.7436,3.06,-17.926,-606.17,1.5729,41.745,0.00085876,0.0013136,1.1176,12.377,5.5411e-13
140,17,1840,199.09,0.6472,3.5607,-19.761,3.0019,3.96e-05,0.00020469,2.7075,0.0016714,0.00807,4.2698,3.4613,-14.526,-645.57,405.19,9446.5,0.0011499,0.0017961,1.5917,11.476,5.3477e-13
140,17,1960,212.69,0.70092,4.0531,-23.866,3.5538,6.027e-05,0.00025355,2.9029,0.0025174,0.011468,4.8486,3.8779,-13.966,-690.19,985.52,20454,0.0015182,0.0024215,1.8199,12.452,5.3868e-13
140,17,2080,220.32,0.7829,4.1763,-56.165,5.269,0.00011407,0.00023508,2.537,-0.0053208,-0.018615,5.1483,4.0065,-13.182,-695.9,5274,64550,0.0017851,0.0030665,2.9575,13.123,1.9223e-12
140,17,2200,237.57,0.82364,4.2007,-81.907,13.342,0.00033093,0.00048063,4.5373,0.0041811,0.011006,5.1883,3.8761,-10.857,-741.07,5424.9,37605,0.0018219,0.0035291,4.2185,14.008,7.5261e-12
140,19,1000,167.55,0.40421,1.1352,41.297,7.0492,8.8825e-06,0.00076124,33.43,-0.041958,-0.28247,1.3317,0.90514,-20.271,-368.74,0.013511,0.61207,3.9264e-05,4.1413e-05,1.9118,10.658,1.1736e-12
140,19,1120,172.68,0.47567,1.383,30.902,8.673,1.5563e-05,0.00076626,28.553,0.0013494,0.0089529,1.71,1.2112,-16.307,-445.24,155.26,6834.5,0.00010131,0.00014312,0.77218,8.6523,1.094e-12
140,19,1240,172.11,0.55074,1.6462,17.226,9.2277,2.3763e-05,0.00065736,20.96,0.00043543,0.0027707,2.0924,1.5199,-15.95,-490.83,17.499,708.47,0.00016643,0.00023864,0.81409,8.8075,8.9024e-13
140,19,1360,177.08,0.61831,1.9625,13.923,8.0335,2.9196e-05,0.00065055,16.268,-0.0013377,-0.007866,2.4818,1.8339,-16.614,-501.82,176.94,6118.4,0.00025178,0.00036771,0.94255,9.4424,6.6184e-13
140,19,1480,181.11,0.70208,2.2426,5.1281,8.1132,3.9206e-05,0.00057791,13.013,-0.0008823,-0.0049546,2.8993,2.162,-15.191,-545.34,83.555,2635.1,0.00036722,0.00054486,1.0295,9.3207,6.5395e-13
140,19,1600,191.86,0.78223,2.605,0.5566,6.4572,4.176e-05,0.00045691,8.9562,0.021276,0.11044,3.3611,2.5184,-20.336,-566.24,0.083431,2.2473,0.00036445,0.00040619,3.0205,13.555,6.1938e-13
140,19,1720,193.87,0.89096,2.9623,-12.708,5.4107,4.8086e-05,0.0003235,5.6604,0.00051022,0.0024921,3.8735,2.9024,-16.366,-601.79,32.838,783.39,0.00073187,0.0011344,1.3611,11.023,5.5696e-13
140,19,1840,202.12,0.98238,3.367,-18.342,4.6749,5.4296e-05,0.00028692,4.3064,-0.00053519,-0.0024734,4.4054,3.2843,-14.698,-645.19,38.554,823.55,0.00097686,0.001546,1.5722,11.226,6.0509e-13
